,id,formula,mol_weight,O,P,Ni,X,Na,Co,I,B,H,C,Br,Mn,F,Hg,As,Fe,N,Se,R,W,S,Cl,Mo,Mg,polymer
0,C00001,H2O,18.016,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C00002,C10H16N5O13P3,507.188,13,3,0,0,0,0,0,0,16,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2,C00003,C21H28N7O14P2,664.444,14,2,0,0,0,0,0,0,28,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
3,C00004,C21H29N7O14P2,665.452,14,2,0,0,0,0,0,0,29,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
4,C00005,C21H30N7O17P3,745.43,17,3,0,0,0,0,0,0,30,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
5,C00006,C21H29N7O17P3,744.4219999999999,17,3,0,0,0,0,0,0,29,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
6,C00007,O2,32.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,C00008,C10H15N5O10P2,427.21,10,2,0,0,0,0,0,0,15,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
8,C00009,H3PO4,97.994,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,C00010,C21H36N7O16P3S,767.548,16,3,0,0,0,0,0,0,36,21,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0
10,C00011,CO2,44.01,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,C00012,C2H4NO2R(C2H2NOR)n,56.046,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
12,C00013,H4P2O7,177.97199999999998,7,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,C00014,NH3,17.034,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,C00015,C9H14N2O12P2,404.162,12,2,0,0,0,0,0,0,14,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
15,C00016,C27H33N9O15P2,785.5640000000001,15,2,0,0,0,0,0,0,33,27,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
16,C00017,C2H4NO2R(C2H2NOR)n,56.046,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
17,C00018,C8H10NO6P,247.14000000000001,6,1,0,0,0,0,0,0,10,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,C00019,C15H22N6O5S,398.456,5,0,0,0,0,0,0,0,22,15,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0
19,C00020,C10H14N5O7P,347.23199999999997,7,1,0,0,0,0,0,0,14,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
20,C00021,C14H20N6O5S,384.43,5,0,0,0,0,0,0,0,20,14,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0
21,C00022,C3H4O3,88.062,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,C00024,C23H38N7O17P3S,809.5840000000001,17,3,0,0,0,0,0,0,38,23,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0
23,C00025,C5H9NO4,147.132,4,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,C00026,C5H6O5,146.098,5,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,C00027,H2O2,34.016,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,C00028,"""""",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,C00029,C15H24N2O17P2,566.302,17,2,0,0,0,0,0,0,24,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
