,Node,Degree Centrality,PageRank
8403,C00001,0.1062870699881376,0.02108407491032484
8338,C00007,0.08315539739027283,0.01832519567132411
37,C00019,0.04424673784104389,0.010166697793974564
461,C00029,0.026927639383155396,0.005761820360828808
1678,C00448,0.015302491103202847,0.005145371732717244
71,C00024,0.023487544483985764,0.004857987659910773
8337,C00002,0.026215895610913403,0.004744128587608454
8406,C00014,0.02502965599051008,0.004603614065807323
8340,C00011,0.02491103202846975,0.004558785813529588
8396,C00009,0.022419928825622774,0.003919218687666775
70,C00022,0.01897983392645314,0.003524184656341061
375,C00025,0.016844602609727165,0.0031512073227000677
8358,C00010,0.014116251482799524,0.002928339875664306
8377,C00013,0.0132858837485172,0.002581168198564041
72,C00033,0.012930011862396203,0.002517658386654827
199,C00083,0.011625148279952549,0.0025166449224697544
376,C00026,0.012099644128113879,0.0022174914999275267
1676,C00341,0.006761565836298932,0.0019029861431736565
1677,C00353,0.006524317912218268,0.0018911912025644595
863,C00043,0.00830367734282325,0.0017889245935579737
1021,C00053,0.006405693950177936,0.0016410692981788577
1637,C00124,0.00889679715302491,0.001608861113384239
1675,C00235,0.005693950177935943,0.0014467121071692975
639,C00031,0.007354685646500593,0.0014028255390890214
759,C00037,0.007354685646500593,0.0013591372074011935
2615,C01054,0.0036773428232502966,0.001358425163747157
8351,C00008,0.007829181494661922,0.0013228309442077147
1423,C00096,0.006168446026097271,0.0012893870843492306
2580,C00363,0.006287069988137603,0.0012806365720713314
465,C00167,0.005456702253855279,0.0012551049268922617
8353,C00020,0.00723606168446026,0.001245239417728757
74,C00041,0.006405693950177936,0.0011370262037073762
760,C00048,0.005693950177935943,0.001123795692430076
801,C00060,0.006049822064056939,0.001094451754341354
462,C00052,0.005456702253855279,0.0010632619415871431
38,C00073,0.004863582443653618,0.0009755599862580035
198,C00040,0.005219454329774614,0.0009416139744980676
912,C00047,0.004863582443653618,0.0009381529243222918
8341,C00058,0.0045077105575326215,0.0009219671861591989
206,C00223,0.004270462633451957,0.0008927179377633248
8409,C00698,0.003914590747330961,0.000869027084028337
77,C00078,0.004270462633451957,0.0008593283057865508
8367,C00051,0.0037959667852906285,0.0008524595188375646
78,C00082,0.0045077105575326215,0.000851344332789533
1048,C00062,0.0045077105575326215,0.0008484666760922838
8420,C00145,0.004033214709371293,0.0008437705925525833
79,C00084,0.004151838671411625,0.0008334539894815352
1674,C00129,0.0034400948991696323,0.0008011138432835762
80,C00097,0.004151838671411625,0.000774644436152165
908,C00045,0.003914590747330961,0.0007506154850413833
1405,C00111,0.003914590747330961,0.0007487542760870219
75,C00065,0.003914590747330961,0.0007275819444481961
746,C00049,0.004151838671411625,0.0007133799866879117
1187,C00079,0.0036773428232502966,0.0007107847870553079
73,C00036,0.003914590747330961,0.0006980135130008145
803,C00161,0.0036773428232502966,0.0006964183582767658
1841,C00219,0.0027283511269276394,0.0006891484015194738
1774,C00156,0.0034400948991696323,0.000683142318829706
76,C00074,0.0034400948991696323,0.0006523386781957624
1371,C00108,0.003202846975088968,0.0006477911645183689
438,C00042,0.0036773428232502966,0.0006462984167357763
1110,C00162,0.0033214709371293,0.0006248602320415491
200,C00091,0.0034400948991696323,0.000615673313280282
8376,C00055,0.0036773428232502966,0.0006137469596211708
1652,C00128,0.0029655990510083037,0.0006125839671550438
201,C00100,0.003202846975088968,0.000608134272473966
8349,C00063,0.0033214709371293,0.000607896072840189
1370,C00090,0.002609727164887307,0.0006043491002989728
1572,C00119,0.003202846975088968,0.0006008435514441991
1804,C00154,0.0023724792408066427,0.0005968397300032388
377,C00064,0.0030842230130486356,0.0005909373913893054
1399,C00663,0.0034400948991696323,0.0005876707601886371
8343,C00067,0.0030842230130486356,0.0005760187231124406
640,C00092,0.0034400948991696323,0.0005745058655525243
8344,C00132,0.0027283511269276394,0.0005743052202414139
3012,C00525,0.0029655990510083037,0.0005654146060435809
1128,C00109,0.0030842230130486356,0.0005583820513209812
1718,C00315,0.0027283511269276394,0.0005454391074451655
4079,C02199,0.0022538552787663107,0.0005334280781549015
212,C00406,0.002609727164887307,0.0005319777065472565
1966,C00512,0.002491103202846975,0.0005308509787195542
961,C00099,0.0028469750889679713,0.0005281097966289574
802,C00157,0.0028469750889679713,0.0005258108576931284
1573,C00121,0.002609727164887307,0.000521115922928456
2589,C11921,0.0021352313167259784,0.0005199825649847026
1890,C00190,0.0023724792408066427,0.000511741497721963
1729,C00135,0.0023724792408066427,0.0005106770560832056
8354,C00044,0.0027283511269276394,0.0005096417843800667
463,C00089,0.002609727164887307,0.0005073912122597757
1823,C00180,0.002609727164887307,0.000505778030120697
1050,C00086,0.0027283511269276394,0.000504980497038938
1929,C00169,0.002491103202846975,0.0005000662717187531
31,C00118,0.0029655990510083037,0.0004964474507837622
464,C00103,0.0028469750889679713,0.0004897404485633065
1748,C00191,0.0020166073546856464,0.00048820473539246383
0,C00003,0.0023724792408066427,0.0004874836164866885
2152,C00323,0.0023724792408066427,0.00048719467784225036
2567,C03758,0.0021352313167259784,0.00048686788001129445
1844,C01595,0.00166073546856465,0.0004777355565496262
1373,C00230,0.0023724792408066427,0.00047707678372663204
1230,C01209,0.0022538552787663107,0.00047228148747571465
813,C00641,0.0027283511269276394,0.0004712660961166805
1404,C00093,0.0027283511269276394,0.00046994755770503273
1992,C00187,0.0020166073546856464,0.0004619534652550005
807,C00350,0.002491103202846975,0.0004608204323258312
32,C00199,0.002609727164887307,0.0004570240032725703
1333,C00085,0.0027283511269276394,0.0004552251817113647
2777,C00751,0.0013048635824436535,0.0004530526613544883
2530,C11901,0.0014234875444839856,0.0004439661706121029
865,C00645,0.002491103202846975,0.00044058427521692693
8359,C00015,0.0023724792408066427,0.00044041828052969554
2429,C00954,0.0020166073546856464,0.0004351201164129993
1049,C00077,0.0023724792408066427,0.00043369944884154445
8370,C00105,0.002609727164887307,0.00043329348342135624
2690,C00407,0.0017793594306049821,0.00042495683895352567
1406,C00116,0.0022538552787663107,0.0004223255975272616
1376,C00805,0.0021352313167259784,0.0004195484881269422
1155,C00134,0.0022538552787663107,0.00041586493067854817
205,C00222,0.0020166073546856464,0.00040504123129128503
