,Reactant_pair,KEGG_reactions,source,target,CAR,RPAIR_main,MW,num_reactions
0,C00003_C00006,"R00104,R00118",C00003,C00006,-999.0,True,0.05676764145293613,2
1,C00003_C00153,"R00102,R00555,R03447,R04074,R10629,R10633,R10634,R10685,R12026",C00003,C00153,-999.0,True,0.6894677147299068,9
2,C00003_C00301,R00102,C00003,C00301,-999.0,True,0.08589863431148816,1
3,C00003_C00455,"R00103,R00137",C00003,C00455,-999.0,True,0.33066576913690104,2
4,C00003_C00857,"R00189,R00257",C00003,C00857,-999.0,True,0.0007384180403058591,2
5,C00003_C01253,R03447,C00003,C01253,-999.0,True,0.05415608518995618,1
6,C00003_C04339,R04074,C00003,C04339,-999.0,True,0.1309549967230155,1
7,C00003_C13050,R10629,C00003,C13050,-999.0,True,0.10212381973894809,1
8,C00003_C16011,R00555,C00003,C16011,-999.0,True,0.05415608518995618,1
9,C00003_C20658,"R10633,R10634",C00003,C20658,-999.0,True,0.049837099543185964,2
10,C00003_C20744,R10635,C00003,C20744,-999.0,True,0.000757954004856082,1
11,C00003_C20784,"R10685,R12026",C00003,C20784,-999.0,True,0.053953650640076116,2
12,C00003_C21423,R11504,C00003,C21423,-999.0,True,0.000757954004856082,1
13,C00003_C21424,R11505,C00003,C21424,-999.0,True,0.000757954004856082,1
14,C00003_C21759,R11907,C00003,C21759,-999.0,True,0.07393919116235018,1
15,C00004_C00005,"R00105,R12587",C00004,C00005,-999.0,True,0.05668652654390191,2
16,C00004_C04856,"R00129,R10267",C00004,C04856,-999.0,True,0.013355869871188954,2
17,C00004_C21113,R11104,C00004,C21113,-999.0,True,0.3286612195327675,1
18,C00005_C00004,"R00105,R12587",C00005,C00004,-999.0,True,0.05668652654390191,2
19,C00005_C04899,"R10268,R10288",C00005,C04899,-999.0,True,0.011940013618123657,2
20,C00006_C00003,"R00104,R00118",C00006,C00003,-999.0,True,0.05676764145293613,2
21,C00006_C00153,"R00119,R10631",C00006,C00153,-999.0,True,0.7181282087379512,2
22,C00006_C13051,R00119,C00006,C13051,-999.0,True,0.0006591373753316385,1
23,C00006_C20742,R10631,C00006,C20742,-999.0,True,0.09016275800525238,1
24,C00006_C20745,R10636,C00006,C20745,-999.0,True,0.0006765772703083669,1
25,C00006_C21760,R11909,C00006,C21760,-999.0,True,0.06652388227154787,1
26,C00016_C00061,"R00160,R00161",C00016,C00061,-999.0,True,0.26508802534713577,2
27,C00016_C16071,R07636,C00016,C16071,-999.0,True,0.2837103803887664,1
28,C00016_C20730,R10613,C00016,C20730,-999.0,True,0.14846019447785488,1
29,C00018_C00117,"R10088,R10089",C00018,C00117,-999.0,True,0.03568794413871208,2
30,C00018_C00118,"R07456,R10088,R10089",C00018,C00118,-999.0,True,0.18476687172272296,3
31,C00018_C00199,R07456,C00018,C00199,-999.0,True,0.03568794413871208,1
32,C00018_C00250,"R00173,R00174",C00018,C00250,-999.0,True,0.1930427557843246,2
33,C00018_C00627,R00278,C00018,C00627,-999.0,True,0.00406209196918351,1
34,C00018_C00647,"R00277,R01147,R01580",C00018,C00647,-999.0,True,0.0020875646517409707,3
35,C00018_C04556,R10686,C00018,C04556,-999.0,True,0.060049755382924945,1
